id,text,emocion
1529068841065754632,"@jsanchezcristo #AColombiaLePreocupa que aunq pensemos en el menos malo para el cargo de pte, no se niega el miedo, la incertidumbre, la desesperanza, desconfianza :(",tristeza
1529077864942936068,#AColombiaLePreocupa la actitud de los partidos tradicionales por querer evitar un verdadero cambio en el país. Ellos tienen miedo porque sienten que se les va a acabar la guachafita,
1529080883713564672,"@fdbedout La frase de Fajardo: ""Yo no inspiro nada"" es un desatino. Pero la de Petro ""Cazamos corruptos"" es aterradora y debería tener al país atento. Petro no caza corruptos ... persigue, estigmatiza y le pone una diana en la espalda a cualquiera. #AColombiaLePreocupa  #LeApuestoA",
1529141421961248768,#AColombiaLePreocupa que hay tantos jóvenes sin reclamarla y también preocupa que sea porque no están vivos https://t.co/aKGMhes201,
1529102235321389057,1. No deja auditar el código fuente del software.  2. No permitió el reconteo.  3. Pastrana alerto sobre Fraude. 4. 1 millón de votos raros para el Pacto Histórico. 5. Registrador es un Comunista camuflado. 6. PNG cómplices.    #AColombiaLePreocupa  #LeApuestoA  #FicoES https://t.co/SoawSDkflK,
1529045030505267200,"#AColombiaLePreocupa la compra de votos, aquí si aplica Pan para hoy hambre para 4 años",
1529066804655575047,"#AColombiaLePreocupa Las promesas populistas y  sin sustento real que lanza el candidato Petro, pero lo que más debería preocuparnos es la reacción de los violentos seguidores de Petro cuando pierda en segunda vuelta.",
1529244758077579265,#AColombiaLePreocupa que un candidato tenga nexos con la oficina  Leer: 🤔 El que miente es Fico | Cambio Colombia vía @estoescambio https://t.co/kHKj2Ocp0l,
1529065764694765568,"#AColombiaLePreocupa que no se toman medidas efectivas y reales, visibles para impedir la deforestacion, la minería ilegal, el uso de químicos agresivos con el ecosistema, especialmente para el AMAZONAS",
1529203409584377856,#AColombiaLePreocupa que gane el Pacto de la PICOTA!!!,
1529231429414043649,"Soy el único que piensa, que las elecciones de este año, fueron más mediáticas y nos dieron más participacion como pueblo, pero parecen un chiste?  #AColombiaLePreocupa",
1533955697557352448,jajajaja los mamertos  ya le colocaron alias al rodolfo Hernandez y que #AliasElIngeniero  jajaajajja están cagaooss,
1533639779077726208,#AliasElIngeniero Y Lo Peor Es Que Hay Gente Que Piensa Votar Por Este Señor https://t.co/KCDGEaPRVA,
1533784467361374208,"Lo de @ingrodolfohdez no es un alias como lo quieren hacer ver los resentidos petristas,  son tan ignorantes que ""#AliasElIngeniero"" es un honorable título profesional con una experiencia magistral. Muy diferente a los alias de Petro que esos sí son alias para un criminal.",
1533771383033012224,"#AliasElIngeniero su pecado mortal, es haber trabajado como mula toda la vida. Si fuera Guerrillero, Paraco, Mafioso, delincuente... SERÍA SEGUIDO Y ADMIRADO POR LOS MAMERTOS.",
1533771822755418112,"¡Subamos al 1er lugar este tendencia, somos 5tos #AliasElIngeniero!!!  Y que espere más capítulos, los vamos a adelantar para que Colombia sepa la clase monstruo que se esconde tras ese anciano octogenario, el nuevo títere de Genocida. #AliasElIngeniero 🔥 https://t.co/z1CFVi3FKB",
1533690475839889411,"@ingrodolfohdez usted dice que no le importa que sea ilegal, y que se limpia el culo con la ley que no le conviene, y despide sin más a quien lo contradice... #AliasElIngeniero qué verguenza de candidato presidencial. https://t.co/9T4tAICt3M",
1533926588227665920,"William Ospina parece fazer cosplay de Mario Vargas Llosa. Que fim horrível. Conheci sua obra há pouco, e já vai direto para o cantinho da biblioteca reservado às decepções literárias. #AliasElIngeniero #ColombiaDecide https://t.co/o40wPD2LMA",
1531979691917205507,"@santiagoangelp @lafm Y hay que hacer el esfuerzo para que suba hasta el 70% le vamos a dar una patada en el 🍑 a Petro, le vamos a pagar todo lo que hizo con los paros y lo que hace en la politica. No mas Pretrismo #Antipetrismo",
1532068687381147649,Recordar a este déspota alabando a un tirano... El Petrismo otra cosa para dejar atrás #Antipetrismo https://t.co/B4ZgXhxQv6,
1536094480171995138,A estos son los que les a tocado lamerle el asterisco!!!!! #ArizabaletaLameCulos https://t.co/xxD9iPXy0Z,
1536101306120736768,"Hoy nuevamente me encuentro con esta tendencia, sumemos que lo sepa Colombia. #ArizabaletaLameCulos",
1536082919353114624,@Jojare2 Más de tres veces es sevicia pero igual #ArizabaletaLameCulos,
1536458782267564034,Acá estamos por la dignidad. #ArizabaletaSicarioMoral,
1536459476081029123,Todos reporten a Arizabaleta. A bloquearle la cuenta #ArizabaletaSicarioMoral,
1536458426812874754,no nos detendremos vamos adelante para que respete #ArizabaletaSicarioMoral,
1536457904571678720,"@jarizabaletaf @petrogustavo Usted es el Único responsable. #ArizabaletaLameCulos #ArizabaletaSicarioMoral alborota la gallina, pero le da miedo el gallo. El que busca encuentra y que siga el juego 3%, aqui ya no hay miedo.",
1535217097223069696,"#CampañaSuciaEs la del periodismo basura de @lcvelez , Vicky de Gnecco y la Banda de activistas con micrófono de Caracol y RCN",
1535258140043792385,#CampañaSuciaEs La gavilla de los medios de comunicación del establecimiento en contra de Petro Vergonzoso Se viene el efecto Bumerang,
1535292870051102722,#CampañaSuciaEs también omitir lo que está pasando y aún así salir a votar por el candidato corrupto. https://t.co/ZLar2OPkvs,
1535270389072416774,"#CampañaSuciaEs todo lo que hace el uribismo para poner presidentes y todos los funcionarios que sean necesarios en todas las ramas del poder, para seguir haciendo de las suyas, sin tener que responder por nada y evadir cualquier responsabilidad, poder delinquir con impunidad.",
1535321035557445635,#CampanaSuciaEs EL PETRISMO QUE INSISTE EN ENGAÑAR A LOS CIUDADANOS. . ESTO LO ESCRIBIO RODRIGO MORA . TELEMUNDO. #LasCosasComoSon https://t.co/9QLLSigPEa,
1535245593081262083,No ir a debates también es #CampanaSuciaEs a punta de tiktoks no se presenta un programa de gobierno serio https://t.co/zRxST4PCNt,
1535218129936297984,#CampañaSuciaEs que todos los días #NoticiasCaracolAhora  le limpie la imagen a Rodolfo Hernandez. Hablan de valores y son los primeros en no tener Ética Profesional.,
