created_at	updated_at	id	emocion	lead_time	text	ironia	tweet_id	sentimento	relevancia	annotator	annotation_id
2023-03-02T17:52:28.479207Z	2023-03-02T17:52:28.479288Z	1	Si	27.149	#NosUnimosONosJodemos #NosUnimosONosJodemos  Vamos juntos por el cambio, mire el miedo que le tienen.  @petrogustavo Mi presidente	No	1528216296147533824	Confianza	Si	1	4
2023-03-02T17:56:05.492636Z	2023-03-02T17:56:05.492705Z	2	Si	103.258	@tobonsanin Otra vez este viejo estúpido politiquero, estamos es llevados cuando creemos  viejo decrépito de estos va hacer la solución para Colombia, ayudando a escoger corruptos como #quintero en MEDELLIN #PetroElPatronDelMal #FedericoEsColombia #NosUnimosONosJodemos	No	1528425111078019072	{"choices": ["Ira", "Asco"]}	Si	1	6
2023-03-02T17:56:22.212738Z	2023-03-02T17:56:22.212807Z	3	Si	16.349	Sin importar encuestas como en el plebiscito juntos por Colombia el 29 nos vemos #FedericoImparable #NosUnimosONosJodemos #FedericoEsColombia	No	1528451337087762433	Confianza	Si	1	7
2023-03-03T14:52:40.558776Z	2023-03-03T14:52:40.558811Z	4	Si	74.528	@FranciaMarquezM Ahora q es a ud si le parece grave? Y cuando sus borregos de la primera linea lo hacian contra nuestros policias q? Chevere cuando es para otros pero grave cuando es hacia mi? 🤥 #PetroElPatronDelMal #NosUnimosONosJodemos	No	1528454891634663428	Asco	Si	1	8
2023-03-03T14:52:55.966209Z	2023-03-03T14:52:55.966264Z	5	Si	15.038	Este es el Presidente que nos merecemos, recorrió el país entero, escuchó, expresó cariño y nos contagió la esperanza #FedericoEsColombia	No	1528336411451133955	Confianza	Si	1	9
2023-03-03T14:53:27.938439Z	2023-03-03T14:53:27.938474Z	6	Si	31.635	Por mi familia, por la democracia y las libertades. #FedericoEsColombia	No	1528335860470620160	Confianza	Si	1	10
2023-03-03T14:53:46.797901Z	2023-03-03T14:53:46.797987Z	7	Si	18.487	Por el bien de Colombia #FedericoEsColombia	No	1528349594152730628	Confianza	Si	1	11
2023-03-03T14:54:52.201627Z	2023-03-03T14:54:52.201664Z	8	Si	65.012	FICO es desarrollo, FICO es progreso #FedericoEsColombia	No	1528347672683356162	Confianza	Si	1	12
2023-03-03T14:55:10.637885Z	2023-03-03T14:55:10.637919Z	9	Si	18.082	Parece que no hemos entendido que necesita mantenerse vigente a base de mentiras #FedericoEsColombia	No	1528354852681699328	Desagrado	Si	1	13
2023-03-03T14:55:56.485094Z	2023-03-03T14:55:56.485165Z	10	Si	45.47	#FedericoEsColombia #FedericoEsColombia El otro, el secuestrador, lo peor que podría pasarle a Colombia. Se imaginan al secuestrador y a king kong representando a Colombia ante el mundo.	No	1528354131680829441	{"choices": ["Asco", "Miedo"]}	Si	1	14
2023-03-03T14:56:05.418275Z	2023-03-03T14:56:05.418369Z	11	Si	8.585	Mi voto en primera es por Federico Gutiérrez #FedericoEsColombia  #FicoPresidente2022 .	No	1528364760273657860	Confianza	Si	1	15
2023-03-03T14:56:22.314852Z	2023-03-03T14:56:22.314890Z	12	Si	16.537	Federico es el presidente que Colombia necesita😍🙏 #FedericoEsColombia	No	1528368299632910336	Confianza	Si	1	16
