created_at	emocion	annotation_id	annotator	lead_time	tweet_id	ironia	answer	relevancia	text	id	sentimento	updated_at
2023-03-01T13:16:16.768175Z	Si	1	1	160.785	1528216296147533824	No		Si	#NosUnimosONosJodemos #NosUnimosONosJodemos  Vamos juntos por el cambio, mire el miedo que le tienen.  @petrogustavo Mi presidente	1	Admiración	2023-03-01T13:16:16.768206Z
2023-03-01T13:17:26.472475Z	Si	2	1	69.421	1528425111078019072	No		Si	@tobonsanin Otra vez este viejo estúpido politiquero, estamos es llevados cuando creemos  viejo decrépito de estos va hacer la solución para Colombia, ayudando a escoger corruptos como #quintero en MEDELLIN #PetroElPatronDelMal #FedericoEsColombia #NosUnimosONosJodemos	2	{"choices": ["Ira", "Asco", "Desagrado"]}	2023-03-01T13:17:26.472542Z
2023-03-01T13:18:02.767992Z	No	3	1	36.023	1528451337087762433			Si	Sin importar encuestas como en el plebiscito juntos por Colombia el 29 nos vemos #FedericoImparable #NosUnimosONosJodemos #FedericoEsColombia	3		2023-03-01T13:18:02.768021Z
2023-03-01T13:20:17.277961Z	Si	4	1	134.18	1528454891634663428	No	Interpela a otro usuario. Parece haber una actitud negativa pero es muy leve.	Si	@FranciaMarquezM Ahora q es a ud si le parece grave? Y cuando sus borregos de la primera linea lo hacian contra nuestros policias q? Chevere cuando es para otros pero grave cuando es hacia mi? 🤥 #PetroElPatronDelMal #NosUnimosONosJodemos	4	Otra	2023-03-01T13:20:17.277992Z
2023-03-01T13:40:12.093670Z		49	1	8.631	1528336411451133955			Si	Este es el Presidente que nos merecemos, recorrió el país entero, escuchó, expresó cariño y nos contagió la esperanza #FedericoEsColombia	5	{"choices": ["Admiración", "Confianza"]}	2023-03-01T13:40:12.093738Z
2023-03-01T13:40:44.720807Z	Si	50	1	18.669	1528335860470620160	No		Si	Por mi familia, por la democracia y las libertades. #FedericoEsColombia	6	Confianza	2023-03-01T13:40:44.720837Z
2023-03-01T13:41:34.960324Z	Si	51	1	23.941	1528349594152730628	No		Si	Por el bien de Colombia #FedericoEsColombia	7	Confianza	2023-03-01T13:41:34.960354Z
2023-03-01T13:42:10.794993Z	Si	52	1	13.73	1528347672683356162	No		Si	FICO es desarrollo, FICO es progreso #FedericoEsColombia	8	Admiración	2023-03-01T13:42:10.795023Z
2023-03-01T13:22:29.808439Z	Si	9	1	16.027	1528354852681699328	No		Si	Parece que no hemos entendido que necesita mantenerse vigente a base de mentiras #FedericoEsColombia	9	{"choices": ["Asco", "Desagrado"]}	2023-03-01T13:22:29.808507Z
2023-03-01T13:22:53.770059Z	Si	10	1	23.572	1528354131680829441	No		Si	#FedericoEsColombia #FedericoEsColombia El otro, el secuestrador, lo peor que podría pasarle a Colombia. Se imaginan al secuestrador y a king kong representando a Colombia ante el mundo.	10	{"choices": ["Ira", "Asco", "Miedo", "Odio"]}	2023-03-01T13:22:53.770138Z
