index,id,text,emocion,label
0,465049714141200384,Buuenoos diiias ya estoy con mii pekeñaa!! Y creo q hoy va a ser un buuen diiiaa #Feliz con ganas de ti @king_torre http://t.co/1zsv6KufUG,Alegria,3
1,468241881428951041,"Nuevos proyectos, nuevas metas, una nueva semana para cumplirlos #Feliz",Alegria,3
2,469580509895729153,Hay altísimas posibilidades de a ver echo bien los tres problemas :') #feliz,Alegria,3
3,469251121354391553,Me tome un taxi con el primer tachero del mundo q no habla #Feliz,Alegria,3
4,468435168693211136,Lindos trofeos trajo el rojo ayer!!! ☺ #Feliz #Happines http://t.co/vsriQ4DhFw,Alegria,3
5,465338092267012096,Recien llegando a casa después de una hermosa función! Y recibiendo fotos de MI RECIEN NACIDA SOBRINA! #FELIZ :-),Alegria,3
6,469696935042248704,"Que lindo va ser dormir con el frío de mañana, no se cursa #feliz",Alegria,3
7,465086507083390976,"El día que Dios invento las tostadas con manteca, seguro estaba pensando en mi!!! #feliz finde!!",Alegria,3
8,464864820920328192,Pequeños momentos pueden hacer de un día ordinario un día especial                  ヽ( ★ω★)ノ #Feliz #Viernesdecomida #amigoschachérrimos &lt;3,Alegria,3
9,470374607728693248,"Con la visita de @marilomgm los sábados se hacen mejor,y si encima eres campeón de EUROPA con el @realmadrid ??? #Feliz",Alegria,3
10,469228981842370560,Alaben su nombre con danza y con  panderos y arpa a él canten. Salmo 149:3 woww Clases de Ballet...  #feliz #soy #danzarina #Altisimo.!!!,Alegria,3
11,468759215876870144,Hoy me desperte preocupada pensando en bañarme y prepararme para trabajar hasta que entendi que tengo franco #Feliz,Alegria,3
12,464890465549316096,"9 de mayo del 2013 - 9 de mayo del 2014 #1añitoya,  y los dos dias siempre los recordare : ') #undia10 #feliz",Alegria,3
13,468398693276979200,Hoy tengo una excelente #Idea que tal si salimos a ser #Absolutamente #feliz y hagamos de este dia una… http://t.co/2I143aUgAz,Alegria,3
14,465873162023206912,Nada mejor que esterarse que todo salio como tenia que salir y que mi abuelo esta bien! Es un grandee #Feliz #Tranquila #Orgullosa,Alegria,3
15,469707619725488128,Gracias ah Dios mi vida toma su camino #Feliz,Alegria,3
16,468020817360871424,"Aunque la carrera ha sido dura, lo que me ha hecho volver a estar bien ha sido ver a @crisrodrigo83 en la meta. Muchas gracias!!!! #feliz 😊",Alegria,3
17,469219252038164480,La gente quiere verme rodar con mis regalos #cumple #comida #comida y mas #comida #caprichos #amarlos #FELIZ :) :),Alegria,3
18,468373924263518208,"Buenos días :) comienza una nueva semana, ahora de vuelta a la realidad ! Pero que mejor que tenga un feriado entre medio 😁 #feliz",Alegria,3
19,464885612857008128,"Me acabo d enterar gracias a @Mugiwara__ que Avril Lavigne y Chad Kroeger,2 de mis cantantes favoritos están casados, #noestoypuesta #feliz",Alegria,3
20,468495582911557632,Nada más lindo que me digan que voy a ser la madrina de Lauty. #Feliz,Alegria,3
21,469420850002030592,buen día! hoy nos dan las camperas de egresados!!! #Feliz,Alegria,3
22,464645785628725248,"Que GENIAL la pasamos!! Una manera de cantar, reírnos, y charlar tremenda, muy buena onda hubo hoy en Pinares, #Feliz!! :)",Alegria,3
23,464758017721131010,Despues de casi casi un mes en Santa hoy a mi Viale querido!! #Feliz,Alegria,3
24,465114099039625217,"@azarpablo Pablito hoy debuté como actriz, es algo para mi #Feliz *-* quieres que hagamos un protagonico juntos? jajaja",Alegria,3
25,468396053776314368,"""La amistad es algo muy valioso que solo lo sabe un amigo verdadero"" #feliz :)))))))",Alegria,3
